INSERT INTO Cars (CARID, MODEL, AGE, CARNUM, BRANCHID) VALUES (628, 'MODEL437', 682, 'CARNUM525', 603);
INSERT INTO Cars (CARID, MODEL, AGE, CARNUM, BRANCHID) VALUES (227, 'MODEL759', 962, 'CARNUM161', 603);
INSERT INTO Cars (CARID, MODEL, AGE, CARNUM, BRANCHID) VALUES (560, 'MODEL981', 696, 'CARNUM125', 940);
INSERT INTO Cars (CARID, MODEL, AGE, CARNUM, BRANCHID) VALUES (925, 'MODEL366', 285, 'CARNUM980', 375);
INSERT INTO Cars (CARID, MODEL, AGE, CARNUM, BRANCHID) VALUES (694, 'MODEL381', 280, 'CARNUM168', 940);
INSERT INTO Cars (CARID, MODEL, AGE, CARNUM, BRANCHID) VALUES (106, 'MODEL366', 889, 'CARNUM477', 375);
INSERT INTO Cars (CARID, MODEL, AGE, CARNUM, BRANCHID) VALUES (959, 'MODEL46', 153, 'CARNUM245', 367);
INSERT INTO Cars (CARID, MODEL, AGE, CARNUM, BRANCHID) VALUES (658, 'MODEL811', 752, 'CARNUM354', 603);
INSERT INTO Cars (CARID, MODEL, AGE, CARNUM, BRANCHID) VALUES (217, 'MODEL668', 587, 'CARNUM325', 603);
INSERT INTO Cars (CARID, MODEL, AGE, CARNUM, BRANCHID) VALUES (189, 'MODEL37', 228, 'CARNUM845', 375);
INSERT INTO Cars (CARID, MODEL, AGE, CARNUM, BRANCHID) VALUES (817, 'MODEL509', 361, 'CARNUM723', 940);
INSERT INTO Cars (CARID, MODEL, AGE, CARNUM, BRANCHID) VALUES (562, 'MODEL352', 825, 'CARNUM899', 375);
INSERT INTO Cars (CARID, MODEL, AGE, CARNUM, BRANCHID) VALUES (941, 'MODEL912', 821, 'CARNUM737', 375);
INSERT INTO Cars (CARID, MODEL, AGE, CARNUM, BRANCHID) VALUES (874, 'MODEL869', 176, 'CARNUM816', 897);
INSERT INTO Cars (CARID, MODEL, AGE, CARNUM, BRANCHID) VALUES (152, 'MODEL739', 656, 'CARNUM142', 940);
