INSERT INTO UsersCars (UCNO, PAYMENTSID, CARID, USERID, STARTDATE, ENDDATE, PRICE, STATUS, CREATEDAT) VALUES (402, 981, 152, 922, '2025-04-30', '2025-04-30', 'PRICE815', 'STATUS293', '2025-04-30');
INSERT INTO UsersCars (UCNO, PAYMENTSID, CARID, USERID, STARTDATE, ENDDATE, PRICE, STATUS, CREATEDAT) VALUES (83, 595, 694, 949, '2025-04-30', '2025-04-30', 'PRICE946', 'STATUS302', '2025-04-30');
INSERT INTO UsersCars (UCNO, PAYMENTSID, CARID, USERID, STARTDATE, ENDDATE, PRICE, STATUS, CREATEDAT) VALUES (598, 970, 941, 910, '2025-04-30', '2025-04-30', 'PRICE425', 'STATUS971', '2025-04-30');
INSERT INTO UsersCars (UCNO, PAYMENTSID, CARID, USERID, STARTDATE, ENDDATE, PRICE, STATUS, CREATEDAT) VALUES (397, 970, 959, 349, '2025-04-30', '2025-04-30', 'PRICE39', 'STATUS376', '2025-04-30');
INSERT INTO UsersCars (UCNO, PAYMENTSID, CARID, USERID, STARTDATE, ENDDATE, PRICE, STATUS, CREATEDAT) VALUES (419, 567, 227, 800, '2025-04-30', '2025-04-30', 'PRICE710', 'STATUS907', '2025-04-30');
INSERT INTO UsersCars (UCNO, PAYMENTSID, CARID, USERID, STARTDATE, ENDDATE, PRICE, STATUS, CREATEDAT) VALUES (366, 595, 874, 349, '2025-04-30', '2025-04-30', 'PRICE404', 'STATUS840', '2025-04-30');
INSERT INTO UsersCars (UCNO, PAYMENTSID, CARID, USERID, STARTDATE, ENDDATE, PRICE, STATUS, CREATEDAT) VALUES (554, 595, 106, 288, '2025-04-30', '2025-04-30', 'PRICE568', 'STATUS81', '2025-04-30');
INSERT INTO UsersCars (UCNO, PAYMENTSID, CARID, USERID, STARTDATE, ENDDATE, PRICE, STATUS, CREATEDAT) VALUES (606, 97, 189, 949, '2025-04-30', '2025-04-30', 'PRICE29', 'STATUS589', '2025-04-30');
INSERT INTO UsersCars (UCNO, PAYMENTSID, CARID, USERID, STARTDATE, ENDDATE, PRICE, STATUS, CREATEDAT) VALUES (693, 621, 658, 322, '2025-04-30', '2025-04-30', 'PRICE957', 'STATUS212', '2025-04-30');
INSERT INTO UsersCars (UCNO, PAYMENTSID, CARID, USERID, STARTDATE, ENDDATE, PRICE, STATUS, CREATEDAT) VALUES (873, 97, 106, 322, '2025-04-30', '2025-04-30', 'PRICE737', 'STATUS377', '2025-04-30');
INSERT INTO UsersCars (UCNO, PAYMENTSID, CARID, USERID, STARTDATE, ENDDATE, PRICE, STATUS, CREATEDAT) VALUES (985, 567, 106, 91, '2025-04-30', '2025-04-30', 'PRICE143', 'STATUS89', '2025-04-30');
INSERT INTO UsersCars (UCNO, PAYMENTSID, CARID, USERID, STARTDATE, ENDDATE, PRICE, STATUS, CREATEDAT) VALUES (117, 928, 941, 910, '2025-04-30', '2025-04-30', 'PRICE284', 'STATUS945', '2025-04-30');
INSERT INTO UsersCars (UCNO, PAYMENTSID, CARID, USERID, STARTDATE, ENDDATE, PRICE, STATUS, CREATEDAT) VALUES (552, 389, 560, 91, '2025-04-30', '2025-04-30', 'PRICE137', 'STATUS48', '2025-04-30');
INSERT INTO UsersCars (UCNO, PAYMENTSID, CARID, USERID, STARTDATE, ENDDATE, PRICE, STATUS, CREATEDAT) VALUES (402, 621, 874, 349, '2025-04-30', '2025-04-30', 'PRICE434', 'STATUS649', '2025-04-30');
INSERT INTO UsersCars (UCNO, PAYMENTSID, CARID, USERID, STARTDATE, ENDDATE, PRICE, STATUS, CREATEDAT) VALUES (254, 970, 941, 541, '2025-04-30', '2025-04-30', 'PRICE856', 'STATUS287', '2025-04-30');
INSERT INTO UsersCars (UCNO, PAYMENTSID, CARID, USERID, STARTDATE, ENDDATE, PRICE, STATUS, CREATEDAT) VALUES (626, 389, 628, 910, '2025-04-30', '2025-04-30', 'PRICE678', 'STATUS766', '2025-04-30');
INSERT INTO UsersCars (UCNO, PAYMENTSID, CARID, USERID, STARTDATE, ENDDATE, PRICE, STATUS, CREATEDAT) VALUES (478, 97, 658, 641, '2025-04-30', '2025-04-30', 'PRICE139', 'STATUS645', '2025-04-30');
INSERT INTO UsersCars (UCNO, PAYMENTSID, CARID, USERID, STARTDATE, ENDDATE, PRICE, STATUS, CREATEDAT) VALUES (823, 970, 560, 910, '2025-04-30', '2025-04-30', 'PRICE13', 'STATUS404', '2025-04-30');
INSERT INTO UsersCars (UCNO, PAYMENTSID, CARID, USERID, STARTDATE, ENDDATE, PRICE, STATUS, CREATEDAT) VALUES (416, 970, 560, 910, '2025-04-30', '2025-04-30', 'PRICE376', 'STATUS990', '2025-04-30');
INSERT INTO UsersCars (UCNO, PAYMENTSID, CARID, USERID, STARTDATE, ENDDATE, PRICE, STATUS, CREATEDAT) VALUES (970, 595, 560, 322, '2025-04-30', '2025-04-30', 'PRICE899', 'STATUS518', '2025-04-30');
